STATUS,Order,Art No,Description,Rcv,Rcv Type,RcvCty,SL,Act Order,Plan Date,TotOrd,TotBal,TotDsp,TotBook,Orig Date,L,T,Rcvd Date,Tot Csm Qty,Order2,Transit,STMS,StockAvailDate
Conf,2401725484,10245337,LEKMAN mini chst/2 drw 33x25 red,318,STO,IL,4,N,12-Sep-2014,56,56,0,0,12-Sep-2014,1,B,02-Sep-2014,0,,N,N,
Conf,2401727130,40177233,TURBO clothes rack 117x59 black,206,STO,IL,3,N,16-Sep-2014,15,15,0,0,16-Sep-2014,1,J,03-Sep-2014,0,,N,N,
Conf,2401730926,40177233,TURBO clothes rack 117x59 black,1,DT,SE,2,N,29-Sep-2014,435,0,0,435,29-Sep-2014,1,J,06-Sep-2014,435,,N,N,
Conf,2401730927,40177233,TURBO clothes rack 117x59 black,53,DT,DE,2,N,29-Sep-2014,15,0,0,15,29-Sep-2014,1,J,06-Sep-2014,15,,N,N,
Conf,2401730947,40177233,TURBO clothes rack 117x59 black,487,DT,ES,2,N,29-Sep-2014,60,60,0,0,29-Sep-2014,1,J,06-Sep-2014,0,,N,N,
Conf,2401731926,50234704,PLUGGIS container with rail s7 white,487,DT,ES,4,N,22-Sep-2014,216,216,0,0,22-Sep-2014,1,J,07-Sep-2014,0,,N,N,
Conf,2401732889,30155019,VARIERA N box 24x17 white,180,STO,HU,1,Y,22-Sep-2014,260,260,0,0,22-Sep-2014,1,J,08-Sep-2014,0,,N,N,
Conf,2401732891,50234704,PLUGGIS container with rail s7 white,236,DT,IT,3,N,29-Sep-2014,1944,1152,792,0,29-Sep-2014,4,J,08-Sep-2014,792,,N,N,
Conf,2401733939,40177233,TURBO clothes rack 117x59 black,1,DT,SE,2,N,30-Sep-2014,165,165,0,0,30-Sep-2014,1,J,09-Sep-2014,0,,N,N,
Conf,2401733941,256312,LEKMAN ** box 33x37x33 red,53,DT,DE,2,N,23-Sep-2014,88,0,44,44,23-Sep-2014,2,J,09-Sep-2014,88,,Y,N,
Conf,2401733941,40177233,TURBO clothes rack 117x59 black,53,DT,DE,2,N,30-Sep-2014,45,0,0,45,30-Sep-2014,1,J,09-Sep-2014,45,,N,N,
Conf,2401733944,50245335,LEKMAN mini chest drw 33x25 red,206,STO,IL,4,N,19-Sep-2014,66,66,0,0,19-Sep-2014,1,J,09-Sep-2014,0,,N,N,
Conf,2401733944,80234694,PLUGGIS box w lid 36x29x18 white,206,STO,IL,4,N,19-Sep-2014,60,60,0,0,19-Sep-2014,1,J,09-Sep-2014,0,,N,N,
Conf,2401733950,40177233,TURBO clothes rack 117x59 black,339,DT,RU,3,N,30-Sep-2014,75,0,0,75,30-Sep-2014,1,J,09-Sep-2014,75,,N,N,
